x,y,t,id
-73.8980093,42.8333826,2010-03-06T06:40:12Z,1016
-73.898024,42.8334062,2010-03-06T06:42:06Z,1016
-73.8979575,42.8334422,2010-03-06T06:44:06Z,1016
-73.8979387,42.8334862,2010-03-06T06:48:06Z,1016
-73.8986025,42.8340486,2010-03-06T06:50:04Z,1016
-73.8992177,42.833889,2010-03-06T06:52:08Z,1016
-73.8994269,42.8344837,2010-03-06T06:54:12Z,1016
-73.8994726,42.8346144,2010-03-06T07:00:19Z,1016
-73.8995773,42.8351984,2010-03-06T07:06:40Z,1016
-73.8995923,42.8352143,2010-03-06T07:08:30Z,1016
-73.8993623,42.8356715,2010-03-06T07:10:11Z,1016
-73.8999932,42.8370086,2010-03-06T07:16:18Z,1016
-73.8991154,42.8377902,2010-03-06T07:22:17Z,1016
-73.8990574,42.8374646,2010-03-06T07:24:08Z,1016
-73.8989097,42.837574,2010-03-06T07:26:07Z,1016
-73.8987375,42.8386096,2010-03-06T07:28:06Z,1016
-73.8986562,42.8385508,2010-03-06T07:30:12Z,1016
-73.8981834,42.8391728,2010-03-06T07:32:12Z,1016
-73.8977277,42.8396838,2010-03-06T07:34:10Z,1016
-73.897432,42.8407618,2010-03-06T07:36:05Z,1016
-73.896761,42.8405045,2010-03-06T07:38:05Z,1016
-73.8973485,42.8397712,2010-03-06T07:40:11Z,1016
-73.8976948,42.8398354,2010-03-06T07:42:11Z,1016
-73.8972445,42.8402545,2010-03-06T07:44:08Z,1016
-73.8968681,42.8419482,2010-03-06T07:46:07Z,1016
-73.8977422,42.8426975,2010-03-06T07:48:04Z,1016
-73.898459,42.8431913,2010-03-06T07:50:13Z,1016
-73.9000387,42.8422687,2010-03-06T07:52:07Z,1016
-73.9006792,42.8421735,2010-03-06T07:54:04Z,1016
-73.9017677,42.842047,2010-03-06T07:56:08Z,1016
-73.9034293,42.8428955,2010-03-06T07:58:13Z,1016
-73.9035203,42.8431584,2010-03-06T08:00:12Z,1016
-73.9049085,42.8456259,2010-03-06T08:06:59Z,1016
-73.9052885,42.845853,2010-03-06T08:08:06Z,1016
-73.9059984,42.8463172,2010-03-06T08:10:07Z,1016
-73.9066353,42.8456833,2010-03-06T08:12:22Z,1016
-73.908365,42.845119,2010-03-06T08:14:40Z,1016
-73.909338,42.8446354,2010-03-06T08:16:06Z,1016
-73.90975,42.8445588,2010-03-06T08:18:08Z,1016
-73.9115193,42.8440087,2010-03-06T08:20:15Z,1016
-73.9118366,42.8431263,2010-03-06T08:22:08Z,1016
-73.9112704,42.8422308,2010-03-06T08:24:07Z,1016
-73.911073,42.841787,2010-03-06T08:26:18Z,1016
-73.912169,42.841707,2010-03-06T08:28:18Z,1016
-73.9129024,42.8410338,2010-03-06T08:30:08Z,1016
-73.9139416,42.8403437,2010-03-06T08:32:21Z,1016
-73.9143822,42.8403805,2010-03-06T08:34:29Z,1016
-73.9159273,42.8397325,2010-03-06T08:37:11Z,1016
-73.9164049,42.8396096,2010-03-06T08:38:08Z,1016
-73.9165231,42.8397596,2010-03-06T08:40:10Z,1016
-73.9165775,42.8391415,2010-03-06T08:42:23Z,1016
